region_code,sgg_name,year,net_rate,population,pagerank_lag1,closeness,house_age,childcare_pk,pop_density,seoul_dist_km,ln_pop,fertility,doctor_per1000,aging_ratio,youth_ratio,fiscal_indep,employ_rate,biz_count,sewer_supply,academy_pk,culture_facility_count,senior_fac_pk,hospital_bed,extinction_risk
11260,중랑구,2021,-13.140570543436167,387350.0,0.0068159161804018,264.78990887968763,15.7,17.3,20942.8374025462,10.5,12.8671,0.65,2.7,18.45690342867322,21.578878071826328,18.21,54.85,39310.0,100.0,0.7,6.0,1.3,8.6,1.1691494272166505
11260,중랑구,2022,-0.4152414369429925,385318.0,0.0063078788088579,238.982973810854,17.3,17.1,20831.26859494473,10.5,12.8618,0.659,2.8,19.396655757956395,21.627794113448857,18.21,56.75,40320.0,100.0,0.7,8.0,1.3,8.5,1.115026960489169
11260,중랑구,2023,-6.1388703536523135,382155.0,0.0066446471577133,224.6488218918589,19.8,16.9,20660.2270169997,10.5,12.8536,0.623,2.9,20.603627837846325,21.40434796261213,21.57,59.65,40964.0,100.0,0.7,8.0,1.3,8.8,1.0388630648479769
11260,중랑구,2024,-5.597536345755311,379274.0,0.0061722655653689,229.547740826598,22.7,16.9,20503.309059816507,10.5,12.846,0.61,2.9,21.94687232219366,21.10394832245732,15.43,60.2,42344.0,100.0,0.7,8.0,1.3,8.9,0.9615925227357368
11290,성북구,2017,-15.619686750515138,444055.0,0.0073414912611505,259.1619947209786,14.8,15.6,18070.70907247792,5.7,13.0037,0.818,2.8,14.819977660475256,21.106572144053903,21.77,,24039.0,100.0,1.0,19.0,1.9,7.1,1.4241972982418818
11290,성북구,2018,-19.11129057421054,435868.0,0.0076746115703255,267.24139340825724,14.3,16.0,17737.37293631126,5.7,12.9851,0.737,2.2,15.443630999222243,21.029024775792728,19.6,,23287.0,100.0,1.1,20.0,1.9,7.8,1.3616632498440149
11290,성북구,2019,15.072856658759742,442650.0,0.0073477930417718,270.22646264459786,13.6,15.8,18012.684983234918,5.7,13.0005,0.707,3.0,15.88971898854854,21.431104865910164,19.57,,23617.0,100.0,1.0,23.0,1.9,7.9,1.3487403321201092
11290,성북구,2020,-12.073576070620582,437153.0,0.0091349084857869,269.0064945241276,13.8,15.9,17787.198284608916,5.7,12.988,0.676,3.0,16.751305032093953,21.79163406945836,20.04,,34420.0,100.0,1.0,24.0,1.8,8.0,1.3008917232244055
11290,성북구,2021,-7.757915861453843,430528.0,0.0079663007564629,258.35125357860903,15.2,15.8,17517.52421747025,5.7,12.9728,0.656,3.1,17.299647642783643,21.887491899500382,20.57,52.5,34712.0,100.0,1.0,25.0,1.7,8.2,1.265198711063373
11290,성북구,2022,4.737486553112591,430397.0,0.0079145264575681,241.96935635114136,16.3,15.8,17511.546848232618,5.7,12.9725,0.649,3.2,17.946644733479246,22.01009298370345,19.93,54.25,35162.0,100.0,1.1,26.0,1.7,8.6,1.2264182698531887
11290,성북구,2023,-9.567624212292236,425602.0,0.0084565349748423,219.31013467535703,17.8,15.7,17316.438557837788,5.7,12.9613,0.588,3.2,18.83750819425615,22.078791737840195,20.72,54.95,35548.0,100.0,1.1,29.0,1.8,8.5,1.172065408554002
11290,성북구,2024,-7.6477844197741724,421560.0,0.0077155354808943,229.29473296171565,19.9,15.4,17151.818621088583,5.7,12.9517,0.603,3.0,19.75704583678281,22.03880339974524,18.65,55.1,35561.0,100.0,1.1,31.0,1.7,8.5,1.115490827009893
11305,강북구,2017,-7.945044209332499,324479.0,0.0052400304333774,247.26151240785697,12.8,14.7,13748.78200470749,9.3,12.69,0.825,2.1,17.326183431952664,20.031126725838263,18.78,,18928.0,100.0,0.7,12.0,1.4,6.4,1.1561188189256493
11305,강북구,2018,-15.224148086876966,319164.0,0.0052978858949202,252.78473891236567,14.0,15.6,13523.574999956993,9.3,12.6735,0.647,2.1,18.132940641987684,19.892218758322496,17.59,,18918.0,100.0,0.7,12.0,1.4,6.9,1.0970211148356774
11305,강북구,2019,-14.57538365493034,313954.0,0.0050616840647774,253.262438415997,15.5,16.2,13303.078265972048,9.3,12.657,0.617,2.3,19.187463171473617,19.861763628545493,16.78,,19014.0,100.0,0.7,12.0,1.4,7.1,1.0351427622841964
11305,강북구,2020,-16.331499245264645,308055.0,0.0052253782098872,254.86065764478911,17.5,17.3,13052.981673593393,9.3,12.638,0.55,2.4,20.471602565767263,19.96292881813696,16.78,,26711.0,100.0,0.7,12.0,1.3,7.6,0.9751522263097804
11305,강북구,2021,-19.733807515158,299182.0,0.0051546915911806,242.43770727203147,26.4,18.6,12676.966341303118,9.3,12.6088,0.541,2.5,21.44941390386486,19.93763014609788,17.21,51.8,26385.0,100.0,0.7,12.0,1.3,7.7,0.9295186449129696
11305,강북구,2022,-10.627937070081046,293660.0,0.0047637479113793,223.7591535222389,28.9,18.9,12443.008438767309,9.3,12.5902,0.483,2.5,22.518482195456667,20.03670899438468,17.09,53.05,26114.0,100.0,0.7,12.0,1.3,7.9,0.8897894991531575
11305,강북구,2023,-14.056984585909,288113.0,0.0050007479677176,203.8982501732586,31.9,20.1,12207.966861386603,9.3,12.5711,0.478,2.6,23.74962688380294,19.854293786487293,17.18,55.65,26310.0,100.0,0.8,12.0,1.3,8.0,0.8359833981235203
